"ID","Process ID","Process Name","Host Name","thread Domain:Push/Pop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Id:Domain:Start/Stop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","4713","python3.9","127.0.0.1","4713  ""<default domain>:train_step:none:none:none:none:none:none""  ""<default domain>:forward:none:none:none:none:none:none"" ","","void implicit_convolve_sgemm<float, float, (int)128, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)0, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int)","1","7","(8, 8, 1)","(1024, 2, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","27.90"
"0","4713","python3.9","127.0.0.1","4713  ""<default domain>:train_step:none:none:none:none:none:none""  ""<default domain>:forward:none:none:none:none:none:none"" ","","void implicit_convolve_sgemm<float, float, (int)128, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)0, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int)","1","7","(8, 8, 1)","(1024, 2, 1)","0","7.5","Command line profiler metrics","gpu__time_duration.sum","usecond","272.26"
"0","4713","python3.9","127.0.0.1","4713  ""<default domain>:train_step:none:none:none:none:none:none""  ""<default domain>:forward:none:none:none:none:none:none"" ","","void implicit_convolve_sgemm<float, float, (int)128, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)0, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int)","1","7","(8, 8, 1)","(1024, 2, 1)","0","7.5","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","51.34"
"1","4713","python3.9","127.0.0.1","4713  ""<default domain>:train_step:none:none:none:none:none:none""  ""<default domain>:forward:none:none:none:none:none:none"" ","","void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char *, (int)2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","0.09"
"1","4713","python3.9","127.0.0.1","4713  ""<default domain>:train_step:none:none:none:none:none:none""  ""<default domain>:forward:none:none:none:none:none:none"" ","","void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char *, (int)2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","7.5","Command line profiler metrics","gpu__time_duration.sum","usecond","2.14"
"1","4713","python3.9","127.0.0.1","4713  ""<default domain>:train_step:none:none:none:none:none:none""  ""<default domain>:forward:none:none:none:none:none:none"" ","","void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char *, (int)2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","7.5","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","0.02"
"2","4713","python3.9","127.0.0.1","4713  ""<default domain>:train_step:none:none:none:none:none:none""  ""<default domain>:forward:none:none:none:none:none:none"" ","","void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, int, (int)32, (bool)1, (int)1, (bool)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)","1","7","(512, 1, 1)","(64, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","80.24"
"2","4713","python3.9","127.0.0.1","4713  ""<default domain>:train_step:none:none:none:none:none:none""  ""<default domain>:forward:none:none:none:none:none:none"" ","","void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, int, (int)32, (bool)1, (int)1, (bool)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)","1","7","(512, 1, 1)","(64, 1, 1)","0","7.5","Command line profiler metrics","gpu__time_duration.sum","usecond","105.54"
"2","4713","python3.9","127.0.0.1","4713  ""<default domain>:train_step:none:none:none:none:none:none""  ""<default domain>:forward:none:none:none:none:none:none"" ","","void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, int, (int)32, (bool)1, (int)1, (bool)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)","1","7","(512, 1, 1)","(64, 1, 1)","0","7.5","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","10.67"
"3","4713","python3.9","127.0.0.1","4713  ""<default domain>:train_step:none:none:none:none:none:none""  ""<default domain>:forward:none:none:none:none:none:none"" ","","void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","1","7","(128, 1, 1)","(4096, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","75.27"
